player_name,age,nationality,club,position,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physicality
Player 0199,31,Portugal,Paris SG,LB,66,69,1249782,37078,75,42,66,50,74,60
Player 0200,27,England,Barcelona,RB,77,77,415198,2826,60,51,52,58,81,67
Player 0201,29,Argentina,Liverpool,CAM,80,83,3993517,49109,67,75,56,62,30,50
Player 0202,26,Argentina,Barcelona,RM,70,73,6686221,8491,61,63,66,70,30,67
Player 0203,26,Netherlands,Liverpool,CAM,66,70,1735523,33375,68,70,64,76,33,66
Player 0204,18,Cameroon,Al Nassr,CF,71,72,4027612,32841,89,72,59,64,30,61
Player 0205,22,Italy,Barcelona,LM,75,76,9734504,144710,64,66,53,74,32,68
Player 0206,21,Portugal,Barcelona,CDM,83,83,5601912,25695,58,67,54,73,30,71
Player 0207,28,Scotland,Arsenal,CM,84,93,642931,36257,74,62,52,66,30,62
Player 0208,27,Portugal,Manchester Utd,LM,77,83,5060837,38648,90,70,56,78,30,75
Player 0209,17,South Korea,Liverpool,LW,79,83,7483949,59635,73,70,47,74,30,73
Player 0210,28,Ghana,Liverpool,CAM,61,65,2095721,1301,77,74,61,66,30,71
Player 0211,25,England,free agent,LB,57,60,7437643,500,76,30,70,69,87,56
Player 0212,16,South Korea,Liverpool,CF,70,76,3125347,62053,67,80,53,54,34,74
Player 0213,24,Argentina,Arsenal,LM,67,69,3404852,35468,80,78,59,76,30,76
Player 0214,19,Croatia,Real Madrid,RM,70,74,899548,4024,92,66,53,68,34,83
Player 0215,20,Argentina,Manchester Utd,LW,79,84,2367387,27383,64,75,60,71,30,74
Player 0216,28,Scotland,Liverpool,RB,74,78,6332180,36330,81,35,71,63,56,55
Player 0217,22,Japan,Bayern Munich,GK,75,83,2773781,2394,37,30,58,43,37,76
Player 0218,22,Brazil,Arsenal,CB,55,61,470530,6605,67,38,52,68,71,70
Player 0219,22,Egypt,Real Madrid,ST,77,80,5426169,7258,71,68,53,59,40,67
Player 0220,27,Italy,Manchester City,CF,65,67,3643650,22248,69,56,48,68,33,59
Player 0221,28,Brazil,Inter Miami,CM,72,81,1652744,132065,64,59,70,71,30,57
Player 0222,31,Ghana,Liverpool,CB,78,84,7727002,9869,70,36,49,80,76,60
Player 0223,29,Germany,Hajduk Split,GK,72,76,928634,17456,39,30,53,35,30,52
Player 0224,26,Poland,Tottenham,LB,73,75,877584,1843,83,49,47,69,70,66
Player 0225,25,Norway,Real Madrid,GK,64,66,1840612,1575,47,30,40,32,30,66
Player 0226,26,Scotland,Liverpool,LB,68,75,20872106,6763,67,42,38,78,82,51
Player 0227,18,Japan,Barcelona,LM,57,58,5337924,42410,64,75,61,65,32,55
Player 0228,23,Spain,Barcelona,RB,83,91,4231018,674,72,48,49,67,76,60
Player 0229,20,Switzerland,Al Nassr,LM,77,78,6908328,146844,76,69,56,72,30,51
Player 0230,30,Norway,Manchester Utd,LM,69,75,3505211,53623,74,74,61,65,30,56
Player 0231,30,Croatia,Manchester Utd,LM,56,62,3300230,43949,76,85,51,66,30,56
Player 0232,22,Senegal,Barcelona,RM,82,88,1347944,32004,67,63,55,73,30,64
Player 0233,30,Italy,Manchester City,RM,65,69,5078107,28256,63,71,55,55,30,85
Player 0234,25,Spain,Liverpool,CDM,59,64,383741,4129,66,72,52,65,31,54
Player 0235,18,Scotland,AC Milan,CB,73,74,4234396,49569,59,51,53,58,71,61
Player 0236,31,Turkey,Manchester City,RM,69,77,2256693,28668,72,61,54,60,34,61
Player 0237,28,Scotland,Real Madrid,ST,82,85,805434,65191,90,60,70,77,30,73
Player 0238,25,Argentina,Inter Milan,CF,76,80,664532,58793,88,72,66,61,30,73
Player 0239,24,Ghana,Bayern Munich,LB,63,70,1807217,14049,68,37,59,71,86,71
Player 0240,24,Algeria,Barcelona,CAM,66,71,1972095,500,78,72,63,71,30,73
Player 0241,27,England,Real Madrid,CDM,69,71,105133,46530,69,75,57,88,31,65
Player 0242,27,Turkey,Manchester City,CB,76,79,458660,57586,68,43,50,73,68,56
Player 0243,25,Ukraine,Hajduk Split,CDM,73,77,7175588,87424,78,68,63,62,31,74
Player 0244,24,Brazil,Barcelona,RM,78,83,14708811,7365,76,79,50,81,30,70
Player 0245,25,Argentina,Liverpool,CAM,85,87,5558684,35823,78,69,55,70,32,63
Player 0246,31,Switzerland,AC Milan,RW,82,89,7205885,14982,75,72,48,57,30,47
Player 0247,25,England,Barcelona,CDM,82,90,2437965,19273,80,70,41,85,34,62
Player 0248,27,Portugal,Manchester City,LB,67,76,2834628,11607,78,44,56,66,72,54
Player 0249,28,Germany,Barcelona,CF,68,73,5131841,7912,63,80,59,67,31,73
Player 0250,22,Netherlands,RB Leipzig,LW,80,85,186997,14918,67,80,75,63,34,65
Player 0251,32,Senegal,Real Madrid,LB,72,74,5949490,8574,73,45,52,78,80,60
Player 0252,24,Germany,Bayern Munich,RB,82,87,1331155,7980,57,48,45,58,58,64
Player 0253,24,England,Barcelona,CDM,72,72,760107,45858,74,64,61,78,30,61
Player 0254,25,Scotland,Paris SG,GK,76,83,6559494,81906,43,30,52,30,30,52
Player 0255,26,Cameroon,Bayern Munich,LW,64,66,1398629,20995,77,78,52,71,30,65
Player 0256,18,Uruguay,Liverpool,LB,63,69,11546160,92134,68,44,56,58,71,67
Player 0257,26,Belgium,Arsenal,RW,73,82,915562,4735,74,78,50,59,30,75
Player 0258,21,Italy,AC Milan,CM,76,79,979114,8133,79,61,72,74,33,61
Player 0259,20,Portugal,Bayern Munich,GK,72,73,3084761,15987,41,30,61,30,30,70
Player 0260,25,South Korea,Liverpool,RM,68,76,928016,23556,76,68,48,63,30,73
Player 0261,22,Spain,Barcelona,GK,75,82,3490371,64749,57,39,56,31,30,69
Player 0262,23,Morocco,Manchester City,LW,84,87,10513594,1526,70,58,65,61,30,71
Player 0263,25,Hungary,Arsenal,CM,76,77,11138810,24193,67,58,68,60,30,68
Player 0264,30,Germany,Barcelona,RB,60,63,71387,1936,82,30,78,62,91,62
Player 0265,25,Uruguay,Real Madrid,ST,71,77,1999749,3365,53,77,69,71,43,70
Player 0266,30,England,Liverpool,LM,83,87,195571,113540,78,62,61,77,30,59
Player 0267,28,England,Manchester Utd,CAM,86,87,1872842,82807,66,99,62,76,30,60
Player 0268,31,France,Al Ahli,CF,90,93,2330476,34219,78,67,66,73,30,50
Player 0269,28,South Korea,Manchester Utd,RB,79,84,1699287,9239,64,49,60,60,79,69
Player 0270,25,Brazil,Barcelona,RM,68,77,3840910,105016,74,73,64,79,30,56
Player 0271,32,France,Real Madrid,LW,84,92,724431,39059,67,78,55,78,34,65
Player 0272,28,Morocco,RB Leipzig,LB,80,81,2309422,10185,78,49,56,74,76,60
Player 0273,24,Ghana,Arsenal,RB,72,79,4033696,8099,50,39,56,73,75,53
Player 0274,26,Netherlands,Paris SG,CB,66,67,4929306,23790,70,38,68,70,85,54
Player 0275,19,Netherlands,Bayern Munich,GK,83,87,24414042,60875,50,41,61,30,30,71
Player 0276,23,USA,Manchester City,ST,66,71,2109045,3607,73,61,51,62,30,65
Player 0277,26,France,Barcelona,RM,76,77,5307374,500,80,69,57,67,31,70
Player 0278,21,Switzerland,Arsenal,CAM,75,84,620927,11118,78,81,52,63,30,77
Player 0279,20,Denmark,Barcelona,LB,78,82,2900495,4803,69,42,56,79,72,65
Player 0280,23,Norway,Liverpool,ST,73,77,3319252,73334,81,68,51,79,30,66
Player 0281,21,Cameroon,Real Madrid,CM,83,90,7809215,40244,70,67,52,59,34,61
Player 0282,25,Argentina,Manchester Utd,CF,82,83,5113534,9605,69,92,56,63,30,63
Player 0283,22,Spain,Paris SG,LB,67,67,495932,92337,73,53,68,63,73,61
Player 0284,28,Italy,Arsenal,RB,61,61,4979101,11163,81,45,42,63,89,67
Player 0285,25,Croatia,Barcelona,RW,79,82,9259099,172424,64,70,57,71,30,72
Player 0286,16,Argentina,Paris SG,RM,74,78,4155665,5795,86,72,69,64,30,63
Player 0287,25,Cameroon,Inter Milan,GK,70,79,1785769,36686,36,30,60,38,30,65
Player 0288,20,Argentina,Inter Milan,CDM,71,78,3447211,3561,81,87,60,54,30,65
Player 0289,25,Morocco,Inter Milan,LB,79,86,1518158,95731,73,36,52,60,75,59
Player 0290,16,Brazil,Barcelona,CAM,77,83,2894692,37435,60,66,69,63,30,66
Player 0291,33,Morocco,Arsenal,GK,79,88,66445,8937,59,30,62,30,30,71
Player 0292,30,Poland,Arsenal,RM,73,80,3370004,35620,74,72,47,78,30,69
Player 0293,21,South Korea,Manchester Utd,LM,61,69,5669229,25775,80,67,53,62,30,65
Player 0294,28,Denmark,Barcelona,CF,50,51,5955291,26247,65,83,59,60,32,62
Player 0295,24,Norway,Liverpool,CB,80,83,824037,5699,67,42,57,66,72,66
Player 0296,26,USA,Inter Milan,CDM,74,83,2304976,17648,74,72,66,59,31,77
Player 0297,23,Brazil,Real Madrid,LW,76,81,5195535,50588,58,66,61,71,30,64
Player 0298,24,South Korea,Bayern Munich,LB,78,87,1451151,42854,62,45,48,51,83,57
Player 0299,22,Switzerland,Arsenal,RB,63,71,5087430,500,63,48,65,57,70,60
Player 0300,30,Argentina,Manchester Utd,RW,72,78,2503820,38950,77,62,66,69,30,59
Player 0301,28,Algeria,Paris SG,RB,60,62,3056001,65946,87,53,54,68,74,52
Player 0302,23,Brazil,Bayern Munich,CB,66,69,2294075,24221,68,30,55,61,63,72
Player 0303,29,France,Tottenham,RM,76,76,6469916,9259,67,78,59,76,30,57
Player 0304,25,Brazil,Paris SG,RW,71,76,3102072,32982,75,70,51,66,31,75
Player 0305,19,Algeria,Barcelona,LB,81,90,8200847,104691,75,30,65,68,73,66
Player 0306,16,Spain,AC Milan,RM,63,70,23420870,2337,68,60,62,63,30,73
Player 0307,27,Morocco,Arsenal,CB,60,60,843884,3061,73,39,62,69,86,63
Player 0308,25,Hungary,Liverpool,ST,79,84,5038106,50930,78,80,57,66,35,55
Player 0309,23,Ghana,Arsenal,LB,77,84,5032102,51654,68,32,62,55,73,74
Player 0310,17,Denmark,Liverpool,GK,78,87,9347496,6301,49,30,52,32,30,65
Player 0311,27,Uruguay,Real Madrid,RM,59,66,4612023,29476,84,76,51,73,30,62
Player 0312,22,Germany,Barcelona,CF,77,81,4483188,6103,86,81,65,75,30,68
Player 0313,20,Germany,AC Milan,CF,81,81,1122653,46666,66,77,56,69,30,64
Player 0314,23,Belgium,Manchester Utd,RW,68,68,3412598,12959,71,82,46,65,30,67
Player 0315,28,England,Arsenal,LW,63,66,4185964,10768,67,64,58,60,30,67
Player 0316,22,England,Bayern Munich,CM,76,79,405847,8108,61,66,57,58,30,65
Player 0317,22,England,Hajduk Split,CAM,59,60,4016351,7696,64,66,62,70,30,41
Player 0318,26,Italy,Arsenal,CF,66,75,8065172,40117,71,71,63,66,36,71
Player 0319,22,Scotland,Liverpool,LW,80,83,4971110,15585,64,73,66,63,31,55
Player 0320,26,Italy,Real Madrid,CM,85,90,16670484,5364,67,69,66,63,30,63
Player 0321,33,Argentina,Al Nassr,LM,64,70,210374,561,75,64,67,73,30,56
Player 0322,25,Japan,Manchester Utd,RB,68,77,4056740,2199,76,30,59,69,72,75
Player 0323,31,England,Arsenal,LM,77,86,1295771,72310,75,63,60,66,30,51
Player 0324,24,Poland,Real Madrid,LW,65,72,4831512,32749,74,73,52,83,30,65
Player 0325,29,France,Barcelona,RW,80,80,1475771,120951,62,68,53,52,30,59
Player 0326,28,Netherlands,AC Milan,CF,86,86,3385545,6854,60,82,59,69,47,60
Player 0327,24,Norway,Liverpool,RB,87,95,436070,7366,77,40,51,43,76,69
Player 0328,29,Japan,Liverpool,LW,73,80,2635691,6013,69,71,69,67,30,57
Player 0329,20,Senegal,Inter Milan,RW,84,86,1808079,98273,75,71,60,60,30,62
Player 0330,19,Denmark,Manchester Utd,GK,75,81,4449636,1273,38,30,51,43,30,73
Player 0331,22,Netherlands,Manchester City,CB,76,77,7446504,15342,71,49,59,80,78,69
Player 0332,23,Ghana,Real Madrid,CB,78,82,926756,25141,75,44,54,55,75,67
Player 0333,26,Sweden,Inter Milan,CB,60,67,179224,27440,75,43,62,72,79,73
Player 0334,24,Hungary,AC Milan,CDM,76,85,3437900,58970,75,61,61,62,30,76
Player 0335,22,South Korea,Bayer Leverkusen,CM,76,79,635297,23750,65,72,68,65,30,61
Player 0336,27,Algeria,Barcelona,CAM,69,70,1565674,43209,68,81,55,67,30,50
Player 0337,21,Germany,Barcelona,ST,73,77,913730,19304,60,61,79,74,30,73
Player 0338,30,Senegal,Arsenal,LB,69,69,1645507,20313,59,48,59,79,69,62
Player 0339,23,Scotland,Inter Milan,LB,66,66,3049590,24069,65,30,59,71,68,58
Player 0340,24,Norway,Bayern Munich,CB,86,87,108140,16286,66,54,48,70,72,68
Player 0341,29,Italy,Real Madrid,RB,71,80,565511,5899,65,44,59,69,75,71
Player 0342,21,Morocco,Bayern Munich,RB,81,83,5312280,1602,72,56,53,64,68,53
Player 0343,32,Portugal,Barcelona,LM,75,84,476272,15854,73,76,58,79,30,62
Player 0344,27,England,Liverpool,LW,76,82,4385975,87667,81,90,66,75,30,63
Player 0345,22,Switzerland,Arsenal,LB,70,71,1210258,20138,73,44,61,63,99,75
Player 0346,26,Belgium,Bayern Munich,LW,64,65,2668321,20740,69,64,54,66,30,63
Player 0347,25,Croatia,Manchester City,CF,73,80,1197959,55391,65,84,61,73,30,55
Player 0348,25,France,Manchester City,CDM,69,78,1752906,44463,68,75,48,56,30,61
Player 0349,28,England,Bayern Munich,LM,66,72,502351,127920,67,82,66,69,30,66
Player 0350,24,Netherlands,Real Madrid,RW,82,89,5287108,7281,77,64,38,68,30,61
Player 0351,26,Egypt,Barcelona,GK,81,88,4605022,32673,41,30,60,44,32,53
Player 0352,25,Germany,Liverpool,RM,78,79,4100566,31729,66,61,56,71,30,75
Player 0353,29,Spain,Arsenal,RB,80,80,508885,23001,69,40,51,76,84,73
Player 0354,25,Argentina,Barcelona,LB,73,80,767221,25013,69,45,69,54,89,64
Player 0355,20,Switzerland,Manchester City,RM,65,65,1444148,2644,81,80,54,66,30,48
Player 0356,30,Japan,Real Madrid,CB,64,73,1838532,9328,65,43,58,59,77,66
Player 0357,27,Netherlands,Arsenal,CDM,68,71,6977565,60794,85,66,63,63,30,49
Player 0358,23,Italy,Al Nassr,RB,65,73,2426064,18234,57,53,60,57,78,72
Player 0359,25,Ghana,Arsenal,RM,78,86,13544884,1655,80,82,62,72,30,65
Player 0360,23,Italy,Bayern Munich,RB,79,84,6445182,35466,55,44,68,66,80,67
Player 0361,24,France,Liverpool,RW,76,76,2387203,10668,65,77,55,63,30,59
Player 0362,27,Belgium,AC Milan,LW,76,82,1403378,65528,68,65,52,69,30,76
Player 0363,32,Italy,Al Ittihad,CDM,73,76,9163583,21720,74,83,52,69,30,56
Player 0364,35,Germany,Arsenal,RB,81,86,1619563,27784,71,40,54,69,67,71
Player 0365,27,Morocco,Barcelona,RW,79,88,8877440,13230,64,77,71,66,41,70
Player 0366,31,USA,Barcelona,CDM,79,86,6042793,29817,62,58,59,53,30,67
Player 0367,25,Germany,Barcelona,LB,71,77,14124932,4199,69,44,65,62,72,64
Player 0368,26,France,Liverpool,RW,75,81,1021245,62170,74,79,53,73,38,67
Player 0369,35,France,Barcelona,RM,69,75,5310904,39893,70,66,56,72,30,58
Player 0370,30,Argentina,Arsenal,LW,73,79,896915,49037,65,71,61,91,30,55
Player 0371,17,Hungary,Barcelona,ST,76,79,117296,10073,77,69,73,79,38,57
Player 0372,24,France,Paris SG,RM,77,81,6234261,23939,61,70,61,68,30,63
Player 0373,26,Cameroon,Barcelona,CDM,90,91,3047422,12451,64,80,54,57,30,57
Player 0374,35,Norway,Real Madrid,LM,71,73,10588310,26138,91,78,69,63,30,65
Player 0375,21,Netherlands,Barcelona,LM,74,81,6287077,8543,65,77,60,49,30,67
Player 0376,16,England,Tottenham,ST,70,79,6791574,35415,86,76,51,65,30,81
Player 0377,30,Cameroon,Manchester Utd,RM,62,68,4129255,7713,84,78,59,60,32,57
Player 0378,24,South Korea,Al Nassr,CAM,63,64,1013959,16236,65,62,56,62,30,81
Player 0379,22,South Korea,Arsenal,CM,84,90,1993607,40929,80,67,49,73,35,85
Player 0380,28,Denmark,Tottenham,RW,64,66,2839016,15368,80,62,64,63,30,75
Player 0381,22,Germany,Tottenham,GK,66,75,3656088,14461,53,30,54,41,30,59
Player 0382,17,USA,Real Madrid,LW,73,78,54353,5015,63,78,79,61,36,67
Player 0383,24,Senegal,Liverpool,CAM,74,75,1839136,5265,77,72,61,60,30,74
Player 0384,23,Netherlands,Arsenal,CB,61,66,686844,98817,68,41,59,74,76,59
Player 0385,26,Denmark,Tottenham,CB,68,69,14769489,7930,69,51,51,71,61,60
Player 0386,32,Senegal,Inter Miami,GK,71,72,2746394,20983,54,30,63,37,35,66
Player 0387,19,Scotland,Real Madrid,CM,67,67,1325353,97799,66,69,54,68,30,62
Player 0388,20,Cameroon,Barcelona,CB,54,54,1289715,11414,63,44,63,73,95,47
Player 0389,23,Scotland,Liverpool,GK,78,79,15028017,10271,42,30,63,33,30,52
Player 0390,23,Ghana,Barcelona,CAM,76,79,816605,3874,69,61,77,59,33,53
Player 0391,24,Croatia,Paris SG,GK,77,83,14333528,2426,30,30,50,31,30,65
Player 0392,26,Brazil,Arsenal,CDM,67,71,1321679,19518,71,61,69,68,41,63
Player 0393,31,Italy,Tottenham,LW,50,53,360656,48514,58,94,66,71,35,70
Player 0394,30,England,Liverpool,ST,68,71,2639362,16139,66,64,56,58,30,71
Player 0395,25,Morocco,Arsenal,CAM,79,83,3704815,32029,60,65,65,71,30,82
Player 0396,25,Cameroon,Barcelona,LW,69,73,1480565,26966,70,72,58,64,30,71
Player 0397,25,Germany,Paris SG,ST,81,85,14640471,30825,66,68,56,76,30,81
Player 0398,20,Spain,Real Madrid,RB,77,82,6255104,52794,73,33,56,74,66,44
Player 0399,25,Senegal,Arsenal,LW,72,75,5181273,51584,77,62,47,57,30,77
Player 0400,24,Ukraine,Real Madrid,LM,82,88,1379452,500,74,62,66,61,31,61
Player 0401,32,South Korea,Bayern Munich,ST,67,70,50000,49631,78,61,68,66,30,52
Player 0402,26,Argentina,AC Milan,CB,70,71,84620,6889,80,44,66,68,60,40
Player 0403,24,Japan,Manchester Utd,GK,75,75,67458,10011,60,30,44,30,30,60
Player 0404,29,Netherlands,Arsenal,LM,74,81,15716287,7509,70,72,55,55,30,62
Player 0405,24,Sweden,Manchester Utd,GK,74,79,2863161,42318,40,30,51,30,30,72
Player 0406,18,Cameroon,Liverpool,GK,72,80,5452158,7149,47,30,63,30,30,55
Player 0407,24,Croatia,Manchester City,LM,76,83,3920229,2580,61,71,62,69,35,85
Player 0408,30,Brazil,AC Milan,CAM,79,83,4545095,29512,72,79,58,64,30,70
Player 0409,23,Belgium,Manchester City,CF,80,82,1776520,26094,67,84,71,75,30,65
Player 0410,30,Switzerland,Real Madrid,RB,72,81,9228188,14261,68,46,61,67,69,70
Player 0411,26,Japan,AC Milan,GK,61,64,2287356,5799,41,30,66,41,30,65
Player 0412,23,Argentina,Tottenham,CDM,67,74,3982304,62380,71,56,72,65,30,64
Player 0413,26,Italy,Arsenal,CB,71,75,10162670,87605,67,41,65,65,73,64
Player 0414,25,Italy,Paris SG,CF,69,77,2603249,28493,74,78,70,65,30,67
Player 0415,24,Egypt,Real Madrid,ST,75,84,2559769,53730,73,77,48,63,32,60
Player 0416,22,Sweden,Liverpool,CM,60,65,2082137,67798,73,67,72,64,30,73
Player 0417,27,Germany,Real Madrid,ST,76,83,5728963,2436,71,64,59,58,36,54
Player 0418,21,Italy,Barcelona,RM,72,75,175477,73507,67,78,60,72,30,53
Player 0419,24,South Korea,Arsenal,RB,74,74,1229107,22784,87,43,65,61,77,54
Player 0420,24,Ghana,Liverpool,CM,77,79,6932501,76526,72,62,56,76,30,63
Player 0421,22,Sweden,Tottenham,CF,76,80,4639480,500,73,67,64,61,30,71
Player 0422,20,Italy,Liverpool,LW,80,84,2198303,20391,61,74,62,73,30,67
Player 0423,27,Hungary,Paris SG,RB,66,72,2001271,26661,70,38,74,72,69,62
Player 0424,22,Scotland,Barcelona,CF,88,92,712441,556,63,80,51,70,30,38
Player 0425,36,South Korea,Al Nassr,GK,77,79,334454,2813,30,30,44,36,31,68
Player 0426,23,Belgium,Arsenal,RB,66,75,808594,31764,73,35,73,69,67,70
Player 0427,20,Hungary,Tottenham,RW,71,71,8235672,500,69,84,64,71,30,69
Player 0428,27,Argentina,Liverpool,CB,70,79,3814397,61515,60,41,58,54,80,63
Player 0429,20,USA,Al Nassr,ST,62,67,6527501,35937,64,61,73,73,30,65
Player 0430,26,Germany,Arsenal,LW,70,70,13036682,64563,64,76,53,62,30,85
Player 0431,16,Algeria,Liverpool,ST,75,79,3590186,87774,57,65,65,69,34,68
Player 0432,22,Hungary,Paris SG,CB,66,75,2736412,24653,65,55,70,82,91,70
Player 0433,25,Croatia,Liverpool,CB,71,73,2543879,20339,75,48,65,64,71,76
Player 0434,25,Hungary,Barcelona,CAM,61,64,10451610,15774,68,88,53,84,30,53
Player 0435,26,France,AC Milan,RW,84,91,2125422,10387,59,63,55,74,30,67
Player 0436,27,Scotland,Manchester Utd,GK,75,75,2343496,7599,44,30,71,41,36,58
Player 0437,30,France,Liverpool,RM,83,91,6404921,22135,75,78,67,58,30,55
Player 0438,28,Scotland,Liverpool,LB,71,79,8886008,49157,59,51,55,67,71,66
Player 0439,21,Argentina,Bayer Leverkusen,RW,78,86,3305290,31546,70,79,61,71,44,62
Player 0440,26,Netherlands,Barcelona,RM,71,72,100962,17936,66,56,54,63,30,80
Player 0441,21,Croatia,Real Madrid,RB,69,70,6790422,41879,78,52,57,84,72,65
Player 0442,28,Turkey,Paris SG,CB,84,84,157875,38893,69,54,54,72,75,67
Player 0443,28,Germany,Barcelona,RM,74,78,11544972,5678,83,88,59,81,30,60
Player 0444,29,Italy,Barcelona,LM,85,94,10705316,26196,71,63,67,59,39,69
Player 0445,30,Ukraine,Barcelona,CAM,69,74,64862,2894,66,56,64,54,30,68
Player 0446,26,Spain,Arsenal,ST,69,71,3397613,79072,71,66,57,82,30,68
Player 0447,27,Ghana,Paris SG,CDM,73,74,1004898,32833,73,66,64,62,30,50
Player 0448,27,Germany,Bayern Munich,GK,64,65,648702,34953,43,30,66,30,30,62
Player 0449,26,Brazil,Bayern Munich,RM,73,80,3222412,46525,75,80,56,51,30,71
Player 0450,31,Switzerland,Al Ittihad,RM,79,81,2824902,939,71,77,64,66,30,62
Player 0451,27,Hungary,Paris SG,GK,62,65,4736669,500,38,30,65,38,30,57
Player 0452,19,Spain,Barcelona,ST,74,75,2088921,15923,69,85,65,52,30,61
Player 0453,22,Argentina,Liverpool,CB,91,91,372607,18747,75,54,59,78,83,56
Player 0454,29,Switzerland,AC Milan,LW,68,72,883238,500,60,80,49,57,30,72
Player 0455,28,Egypt,Manchester City,CDM,90,93,294157,18332,79,73,56,57,30,51
Player 0456,21,Argentina,Paris SG,RW,74,80,9873448,121676,60,57,46,60,30,71
Player 0457,25,Netherlands,Paris SG,CB,69,76,2750662,63770,80,30,66,59,89,56
Player 0458,28,Italy,Bayern Munich,LB,67,70,3955596,3354,65,46,62,64,74,60
Player 0459,22,Netherlands,Al Ittihad,RB,71,76,4358645,7054,77,53,51,64,76,60
Player 0460,27,Brazil,AC Milan,LM,78,79,1283781,43229,59,76,67,80,30,62
Player 0461,28,Switzerland,free agent,CM,72,80,6917723,28673,69,84,58,52,32,61
Player 0462,20,Ghana,Liverpool,CDM,82,90,4524384,24619,72,75,52,59,33,72
Player 0463,20,Netherlands,Tottenham,GK,65,65,246550,51624,47,30,61,31,30,73
Player 0464,28,Turkey,Arsenal,LW,54,61,1008395,38506,66,65,67,54,38,62
Player 0465,28,Denmark,Paris SG,RW,78,79,7257422,3126,77,68,61,67,30,64
Player 0466,25,Turkey,Barcelona,RW,72,72,1131692,19655,88,78,59,65,30,49
Player 0467,33,Uruguay,Arsenal,ST,60,61,4086947,53741,76,60,45,77,30,63
Player 0468,24,Scotland,Bayern Munich,CB,71,74,4514561,90238,88,33,60,71,72,54
Player 0469,27,England,Paris SG,LM,84,93,240025,48459,61,75,73,67,30,77
Player 0470,32,Poland,Barcelona,LW,66,68,731403,22640,79,60,62,61,30,69
Player 0471,31,Croatia,Al Hilal,CM,78,82,1706366,28691,65,85,58,75,30,64
Player 0472,27,Japan,Hajduk Split,CF,88,93,3955044,52084,67,76,53,80,35,61
Player 0473,16,Italy,Barcelona,CDM,68,74,457916,129592,84,81,54,62,30,67
Player 0474,28,Cameroon,Tottenham,RM,70,72,19389980,22241,67,63,63,61,30,61
Player 0475,23,Spain,Manchester City,CF,83,90,50000,80165,70,64,57,79,30,70
Player 0476,26,Scotland,Tottenham,RB,75,81,10076458,39458,65,42,62,69,71,68
Player 0477,21,Japan,Hajduk Split,RW,67,76,529886,26699,60,72,71,66,30,66
Player 0478,27,Croatia,Barcelona,CAM,88,92,50000,11928,81,78,75,64,36,55
Player 0479,24,Norway,AC Milan,LM,73,79,50000,29244,80,69,70,71,30,76
Player 0480,29,England,Liverpool,GK,86,91,365196,26670,58,30,38,37,30,64
Player 0481,29,Spain,Liverpool,RW,71,72,9756876,33467,71,79,71,65,30,57
Player 0482,27,Portugal,Bayern Munich,CDM,76,83,7883204,46574,79,63,55,64,30,50
Player 0483,30,Switzerland,Tottenham,GK,50,51,2732725,15112,50,30,64,38,30,64
Player 0484,28,Argentina,Bayern Munich,CM,66,70,522591,70021,71,80,65,79,30,75
Player 0485,31,Spain,Bayern Munich,RB,72,79,2630322,46123,73,55,58,57,92,61
Player 0486,30,Denmark,Arsenal,RW,75,80,3310448,244125,68,80,67,78,30,64
Player 0487,25,Argentina,Paris SG,LW,89,97,1820849,9744,62,72,49,58,30,66
Player 0488,30,Norway,Manchester Utd,LM,75,80,1520218,19067,57,80,66,63,30,56
Player 0489,26,Turkey,Real Madrid,RM,75,81,2433207,2063,72,71,65,74,30,60
Player 0490,31,Spain,Manchester City,LM,68,71,50000,4189,66,69,57,65,30,66
Player 0491,19,Norway,Barcelona,CF,71,74,1257910,26579,63,65,64,65,35,71
Player 0492,28,Scotland,Barcelona,ST,67,74,5353243,34712,73,84,63,69,30,59
Player 0493,26,Senegal,Manchester Utd,ST,77,83,2655445,5629,75,77,61,62,30,65
Player 0494,29,France,Liverpool,RB,81,87,12969271,2711,72,45,52,58,66,63
Player 0495,30,Denmark,Hajduk Split,CDM,91,97,8277338,3710,74,71,69,66,30,44
Player 0496,20,Ghana,Tottenham,LM,67,69,2190638,23127,71,68,65,76,30,66
Player 0497,24,Norway,Manchester Utd,CM,74,82,1462493,93618,78,81,58,69,30,73
Player 0498,23,Denmark,Real Madrid,LM,82,88,16812361,96287,67,70,44,74,30,58
Player 0499,33,Brazil,Real Madrid,CM,66,74,2597622,11331,61,70,54,60,34,54
